rank,attraction_id,name,category,neighborhood,rating,review_count,travelers_choice,open_status,booking_available,description,url
54,3320833,Puente de Isabel II (Puente de Triana),Bridges,,4.2,1270,TRUE,Open now,,This is one of the historic bridges of Seville. The official name is Puente de Isabel II and the common name is Puente de Triana,https://www.tripadvisor.com/Attraction_Review-g187443-d3320833-Reviews-Puente_de_Isabel_II_Puente_de_Triana-Seville_Province_of_Seville_Andalucia.html
55,539313,Archaeological Museum of Sevilla,History Museums,,4.1,499,FALSE,,,"CLOSED FOR RENOVATION. Andalucía’s most important archaeological collection, housed in a pavilion in Maria Luisa Park, charts everything from the Neolithic age, through the Roman occupation to the…",https://www.tripadvisor.com/Attraction_Review-g187443-d539313-Reviews-Archaeological_Museum_of_Sevilla-Seville_Province_of_Seville_Andalucia.html
56,10456738,Iglesia De San Luis De Los Franceses,Churches & Cathedrals,,4.6,141,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d10456738-Reviews-Iglesia_De_San_Luis_De_Los_Franceses-Seville_Province_of_Seville_Andalucia.html
57,495180,Andalusian Center for Contemporary Art,Art Museums,,3.7,227,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d495180-Reviews-Andalusian_Center_for_Contemporary_Art-Seville_Province_of_Seville_Andalucia.html
58,581639,Puente del Alamillo,Bridges,Casco Antiguo,4.2,400,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d581639-Reviews-Puente_del_Alamillo-Seville_Province_of_Seville_Andalucia.html
59,15235468,Casa Fabiola,Points of Interest & Landmarks • Architectural Buildings,,4.5,47,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d15235468-Reviews-Casa_Fabiola-Seville_Province_of_Seville_Andalucia.html
60,11712951,La Gata En Bicicleta,Art Galleries,,4.5,55,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d11712951-Reviews-La_Gata_En_Bicicleta-Seville_Province_of_Seville_Andalucia.html
61,10797150,Plaza del Salvador,Points of Interest & Landmarks,,4.1,94,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d10797150-Reviews-Plaza_del_Salvador-Seville_Province_of_Seville_Andalucia.html
62,240278,Iglesia de San Antonio Abad (El Silencio),Historic Sites • Religious Sites,Casco Antiguo,4.5,66,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d240278-Reviews-Iglesia_de_San_Antonio_Abad_El_Silencio-Seville_Province_of_Seville_Andalucia.html
63,1473426,Ayuntamiento (City Hall),Historic Sites • Points of Interest & Landmarks,,4.1,446,FALSE,,,,https://www.tripadvisor.com/Attraction_Review-g187443-d1473426-Reviews-Ayuntamiento_City_Hall-Seville_Province_of_Seville_Andalucia.html
64,754093,La Carboneria,Bars & Clubs,Casco Antiguo,4.1,1919,FALSE,Open now,,,https://www.tripadvisor.com/Attraction_Review-g187443-d754093-Reviews-La_Carboneria-Seville_Province_of_Seville_Andalucia.html
